,ADRD,ADRU,DAX,DBEU,DBEZ,DBGR,DBUK,DDEZ,DEZU,DFE,DXGE,EDEN,EDOM,EFNL,EIRL,ENOR,EPV,EUDG,EUDV,EUFN,EUMV,EURL,EURZ,EUSC,EWD,EWG,EWGS,EWI,EWK,EWL,EWN,EWO,EWP,EWQ,EWU,EWUS,EZU,FDD,FEP,FEU,FEUZ,FEZ,FGM,FIEE,FKU,FSZ,GREK,GRMY,GSEU,GVAL,GXF,HEDJ,HEWG,HEWI,HEWL,HEWP,HEWU,HEZU,HFXE,IEUR,IEUS,IEV,JPEH,JPEU,NORW,OEUR,PGAL,RFEU,SCID,SMEZ,UPV,VGK,WBIA
2016-05-06,-0.028290080209590784,-0.029468411896664715,-0.021640670991132094,-0.017163817007101234,-0.017672723252453726,-0.014048583849108454,-0.022487745415786353,-0.034307432605454546,-8.797468180266055e-05,-0.011266136926610715,-0.007463207639517355,-0.013886089539276503,-0.018283551046602065,-0.01408830658492155,-0.01709093713375498,-0.032464817887239206,0.05029678128784387,-0.017505434564831668,-0.018093303247190162,-0.04785535802624519,-0.013476160559585115,-0.0752643220130309,-8.797468180266055e-05,-0.007932145946861757,-0.04011154921531479,-0.019148739781553847,-0.010781081534134596,-0.044931256571800526,-0.010131897751598062,-0.027528050853669273,-0.014650128312426625,-0.03826255616797436,-0.03926680469076271,-0.021096642881504035,-0.02951565631355446,-0.0193976391832118,-0.023052038391765506,-0.02387680071082332,-0.0163413905300146,-0.028575037052969043,-0.01271990609934115,-0.025599444745352584,-0.02187245645660052,-0.053417529631830996,-0.0197820163663619,-0.01924197708735842,0.03430452046784449,-8.797468180266055e-05,-0.022432838339068062,-0.02753283372208104,-0.036642560637488275,-0.013458522003056972,-0.014666720453240911,-0.04304554375752023,-0.004693292659655901,-0.035531366925457886,-0.020731698018526923,-0.01862016009209333,-0.034765618681733335,-0.026265216041604145,-0.008841947962760943,-0.027622641494559508,-5.271296264441894e-05,-0.02076969042149157,-0.035076257571040936,-0.024959746548190997,0.000883744387004004,-0.04020748021561571,-0.016521737527809388,-0.01266693949223141,-0.055569247353356555,-0.024554821111963165,0.0056716913151828585
2016-05-13,-0.009760383225803193,-0.0062438735729217765,-0.013750739017879932,-0.0037233563189720265,-0.005782389573714797,-0.001857087335720542,0.003120780142700008,-8.716362751126638e-05,-0.03384198395997362,-0.013158191444307188,-0.0016514004475135513,0.00859091300027881,-0.015250584654702082,-0.03258724148752634,-0.01051645740000362,-0.004451775183438866,0.019168709639795223,0.0076395778422753136,-0.009215977336391123,-0.019037973951372855,-0.006871973074954352,-0.03334118651441609,-8.716362751126638e-05,-0.006745158394727557,-0.015592569705382475,-0.010968555418764958,0.001834355798181475,-0.023149994634388715,0.0010400102349952256,0.006294674972467051,-0.014043435881646582,-0.033375493984811544,-0.021016850505847118,-0.012880348548583886,-0.012088801169790053,-0.010730452255286238,-0.01488590417725777,-0.010646856780126668,-0.012822933260995595,-0.0037112336447685523,0.0014644027179564478,-0.0133269923262328,-0.016858011534641393,-0.007214822513719632,-0.015623196914456683,-0.0028409388194667873,0.01715304534869322,-8.716362751126638e-05,-0.008467466753653397,-0.007541322687481089,-0.009692628771931666,-0.005120742830448388,-0.002697909718816116,-0.011281519042593224,-8.716362751126638e-05,-0.011064068964533935,-0.002722123193817483,-0.006654798879253687,0.004911991750794931,-0.009047659910603745,-0.015321347689039588,-0.010035384402408254,-0.005202907766265086,-0.006791644906148031,-0.0067661330902292205,0.002938770783196709,-0.0350362307497758,-0.0014805806172781821,-0.0010726005094466862,-0.020344676333238998,-0.012961850155166044,-0.011188337995818531,-0.01055467012266098
2016-05-20,0.01687647869155895,0.01126811947837525,-0.007645133790162406,0.012886664875857656,0.01382164842137712,0.00301365867046699,-0.00511361335032301,-8.894128047198802e-05,0.0034086665650303605,0.014944843558029497,0.007744480551055588,0.005705134758380304,0.005898767417043205,0.01523936287138028,0.014562984230497955,-0.001062951304980242,-0.017631535088094785,-0.021061709842979837,0.015485737218853268,0.02774997151018055,0.007169133930577054,0.02714272594765066,-8.894128047198802e-05,0.014572851667572273,0.01286077335997593,-0.005589606772340883,0.00926064039080532,-0.001774979236576213,0.0010374256662870618,0.003248534963612215,0.006988086609091448,-0.0027377069208600613,0.009493754577219793,0.0057635077738991125,0.019730564406828632,0.03648725906365069,0.0022674640543682845,0.005657764019192824,0.012113844778914862,0.006193636123932977,-0.013147254961496269,0.002960434162708525,0.009697897197907368,0.008819669299283905,0.03555484430084155,-0.0003400806445729154,0.05075492462891362,-8.894128047198802e-05,0.004482243772352179,-0.011354365402791666,0.0076700347002554015,0.009834501276831276,0.0038374637717528692,0.00904455415382599,-8.894128047198802e-05,0.019465936952743013,-8.894128047198802e-05,0.011480368274920494,0.007545933891823564,0.009929804255298214,0.01560500974500667,0.008928679541444273,-8.894128047198802e-05,-0.001875497926596692,0.004713883536189067,0.0017327139080722809,-8.894747464083252e-05,0.003957333890240777,-0.00982354762832438,0.010782132947896983,0.022192032734054346,0.010305219560688972,0.0046546818691968195
2016-05-27,0.029732872209745187,0.026449374025364625,0.03205368477751813,0.031129929873263906,0.037031186531545135,0.0361396653930075,0.027453063988136517,0.0329956761217991,0.03389178761977174,0.029000420896236,0.03371719429467501,0.01998255769379753,0.02456524762842016,0.0307434518305425,0.0374012601010949,0.023796144756797366,-0.060527843261283354,0.033767829620718226,0.021480638531382823,0.049101937034710774,0.02025333942067009,0.08687763458043496,-9.280905443964649e-05,0.029632405633114978,0.02651201770415823,0.027167120088734897,0.021758276967276613,0.034532893970706136,0.02465200694591063,0.02585340139475667,0.034216261978980755,0.02779337082989297,0.026922353264615673,0.028583414696370824,0.028745180541342785,0.030262961256825482,0.030172154284985098,0.026027608677633207,0.02401823217870902,0.03276701781523084,0.015060609646940337,0.03608580483291135,0.020952390234534546,0.06943222590278508,0.0337984719403408,0.011207244276330464,-0.02082862549104958,-9.280905443964649e-05,0.03168429838261688,0.018354185935477663,0.027816470083993794,0.03689865456315777,0.03554127259745221,0.03892852675897096,-9.280905443964649e-05,0.03671106647008182,0.028130678601376413,0.03912016445562694,0.028263168494889745,0.027729989812260936,0.0290440482432468,0.02927169089888082,-9.280905443964649e-05,0.03411306941968251,0.019982194548585408,0.025013555412565003,0.014996768647402181,0.033791911439833955,0.030654185357924524,0.017619972673688755,0.04987703407289401,0.0280945078326571,0.028375449068070324
2016-06-03,-0.008911872773244678,-0.0040537248539720405,-0.003764155472639641,-0.013661982729783806,-0.018362766119824903,-0.017132392369231808,-0.006777732630549149,-7.581312232829429e-05,-7.581312232829429e-05,0.01089003570272462,-0.017367954899392357,0.013443968270076434,0.002413704166142727,0.018620418022303964,-0.003250238582811704,0.008971355387628277,0.0004723470705327859,0.0076779444625854065,-0.008980871015902503,-0.021676236522433112,0.004909329995964162,0.0016356485699662304,-7.581312232829429e-05,-0.0036842502617707718,0.0036264252555608945,0.0045393494366487985,0.01642722148538378,-0.016401367185732596,0.028462734764582498,0.0028423963182153678,0.007917338818606456,0.00250809392495821,-0.011450797677256541,0.0043684165177049206,-0.00860666884816419,-0.010148236560745039,0.0022059990644203165,-0.004053245983203779,0.007660040152509318,-0.0054842068765661445,0.016808184789359526,-0.004770482322376757,0.012128561187933373,-0.010015119323045218,-0.01964273767409086,0.016809251919542856,0.017570101383524994,-7.581312232829429e-05,-0.0056352480557755324,0.0009896427368651928,0.005541796727881687,-0.015310876896778902,-0.017699724137806627,-0.0334592689974742,0.03309562695835999,-0.031074302713349433,-0.013821806368361833,-0.018942753601644657,-0.007444123395629165,-0.001488112570467437,0.004642927419621801,-0.0013161128136619515,-7.581312232829429e-05,-0.009594482496347756,0.00648419918130827,-0.004298674522667523,-0.0010669194780043023,-0.009483895284267185,0.007906892238934704,0.013599250841582311,-0.007670294133933608,0.0007245304721428258,0.002540660185409882
2016-06-10,-0.025844558833647113,-0.026549766474151748,-0.03521825477146623,-0.02724405683396869,-0.02902292191967204,-0.028288873643587342,-0.012685900120270821,-9.129944336616624e-05,0.00749329778036234,-0.03381758903446608,-0.02533814139718915,-0.045680815617943904,-0.039409729987986974,-0.02027947472565894,-0.031936021466515085,-0.02746066647178147,0.0727801837718085,-0.032988893545120024,-0.02910087596334643,-0.056629888139912654,-0.036012594226880856,-0.11114691156119039,-9.129944336616624e-05,-0.023832098923889822,-0.044689010706637666,-0.03722494693385425,-0.03507620445269144,-0.03328389372764229,-0.026770259623516646,-0.0230447643722812,-0.04370421558778914,-0.02457405021264425,-0.04863154587327334,-0.0374981084818482,-0.03942467243091097,-0.04282550611404945,-0.0382217496315822,-0.032836558017507955,-0.032799173535324244,-0.034317933976794834,-0.02988443177068434,-0.03900371877267661,-0.03653021490393549,-0.07020198676311373,-0.03689522534347889,-0.019137673912282493,-0.06945035957850243,-9.129944336616624e-05,-0.029906338578458258,-0.008605896622443931,-0.03733247635248249,-0.028013869323661678,-0.027428034621639674,-0.02653290991904189,-0.0005136857010042961,-0.042915686927914365,0.006595106666943851,-0.029936905605061792,-0.023877552943439517,-0.033799376309055607,-0.039584494588369434,-0.036601198184283534,-9.129944336616624e-05,0.025632548496204333,-0.022436026021116162,-0.023414391891553366,-0.013979252383686691,-0.030715312188901223,0.00741133329382726,-0.040153738726665944,-0.06131142299260284,-0.03748091997279679,0.0026557520044616645
2016-06-17,-0.009456781839919381,-0.014097834859486347,-0.005419192323318889,-0.01141649587918947,-0.012742681756711116,-0.011250225374099365,-0.03288987025000323,-9.040367517887393e-05,-0.07996743475812407,-0.0313109390577998,-0.01107854215573345,-0.03565040306293432,-0.014307220178325308,-0.009143756293444882,-0.029440622546583972,-0.02240806711765253,0.010633925451333903,-0.0119780032959389,-0.018597946944385213,-0.0012319045070162682,-0.011281286925654888,-0.024596198188833962,-9.040367517887393e-05,-0.02234754511308068,-0.007460905735621082,-0.00883718205325057,-0.016202979714828314,0.0007678725123188013,-0.024759589078367727,-0.0077006938053247875,-0.027866105154981335,-0.011978609577601107,-0.002735583484750226,-0.012208137515338335,-0.002009721499598216,-0.00487338872973464,-0.008669742710679773,-0.005870515929867981,-0.013892132519048972,-0.006883143389565749,-0.01704376544945274,-0.008405724905786616,-0.007598363003304964,-0.020202155656168563,-0.007624929850689077,-0.014527969605653168,-0.059713426116426715,-9.040367517887393e-05,-0.02237083650298166,-0.011898481998036559,-0.019431241812909228,-0.013094153119448948,-0.010190789706763015,-0.00546718031152138,-0.04869213136322681,-0.010493764513959336,-0.04050330942268887,-0.01062031149301601,-0.020769630711003573,-0.009604205204379879,-0.0180931686197503,-0.006792823519962132,-9.040367517887393e-05,-0.06803943166562076,-0.025802873935656168,-0.015480164014620379,-0.020209728318460907,-0.011687312644873549,-0.07166152698861539,-0.02322691134530619,-0.03188149426238551,-0.0070979496192215,-0.011276740722404588
2016-06-24,-0.0183166749862258,-0.025944362036606217,-0.03446477676095816,-0.0203075714580907,-0.03500439549807155,-0.018932970474507593,0.030307719349710327,0.008542451950040997,-0.02281453539561107,-0.06271807582698274,-0.020428408568671452,-0.019062483165683708,-0.06410381492054973,-0.052960823519488054,-0.05070890687698171,-0.033682429237965716,0.06424848708603736,-0.03533065991908957,0.0036632950026096456,-0.07682829638387889,-0.03488768974097878,-0.17692433008056518,-0.23615803057176576,-0.038293056560056105,-0.047605528553283816,-0.03486746446593336,-0.021350523551685652,-0.10005613629927812,-0.037838034868973525,-0.03101512873210921,-0.03579478780379419,-0.05739605254531732,-0.10547742075222533,-0.049819983320082195,-0.05463117386616778,-0.07839551144550638,-0.055020864664034996,-0.04433684939785798,-0.059195863962551054,-0.040548204665385446,-0.03839554853729532,-0.057544978496348986,-0.028746956059779838,-0.05597612041847755,-0.10095888761736105,-0.03686737400678852,-0.08462711764621389,-0.24168521406349153,-0.027765213164517077,-0.047342355167347305,-0.03558935516867445,-0.03262295285320427,-0.02093896797112116,-0.07604597339639663,-8.866768849913331e-05,-0.08217695207112619,0.021171107166275904,-0.038066049745735464,-0.015338475719934186,-0.04783252869740473,-0.05725637315162391,-0.04732310081621127,-0.0032529255994209194,-0.014303673088528979,-0.03332181438302595,-0.025819324443396408,-0.06681892248269883,-0.03206063232989731,-0.016130459542745945,-0.050340185092901946,-0.06379495060373541,-0.05107723815405152,-0.014864866077087258
2016-07-01,0.03969579627149966,0.05191132110903229,0.026905870602403903,0.058121506130589085,0.03871951530798978,0.02651233733508973,0.0785200324933848,-8.921209433232491e-05,0.04316366881500944,0.016390997618208614,0.025496218810124427,0.05493715288154366,0.0036283716173484137,0.08133603990691074,-0.0014726725624145676,0.06279955876369425,-0.10215497938039664,0.05105171420566079,0.03180020398953731,0.003121890717001863,0.05910802045243235,0.12078794233209234,0.0639487307765414,0.02520857683774791,0.060114942659357684,0.026728857368210956,0.012409936188706894,0.04531813789214545,0.0446662648291285,0.05289182181868268,0.036696087948557166,0.023013834816235645,0.08031996945695319,0.04511302475516321,0.054814122836222,-0.003025274356095453,0.044891477694494863,0.05920555601174393,0.04143286667406465,0.0566040817605018,0.020871413603495093,0.048745255202323534,0.023572547790200904,0.09731558488263814,0.00963627697569569,0.04029307501410018,0.015782546638888784,0.044139646575749536,0.03661432778199458,0.054243862182499436,0.057677774960828376,0.04910809284049722,0.027095032502123972,0.052259330972632245,0.024342685687130494,0.07800599113126405,0.08485194169750332,0.04112278787985679,0.03741566744112634,0.04912653995920335,0.02312515438343432,0.05343372573833305,-8.921209433232491e-05,0.04028703919300147,0.06664012351997295,0.0654801057219494,0.040611867893198816,0.04779888478631267,0.019384055809276823,0.02199968149098197,0.0499669781329628,0.0502669386034289,0.015611592426505672
2016-07-08,-0.015379051115008147,-0.01758026317228878,-0.020276808110049838,-0.007408177403210092,-0.01397185054404404,-0.013029959429422089,-0.008749850176094198,-0.08366651692563876,-0.024198742465915024,-0.02917901359757369,-0.015205714932690961,-0.02086464433099877,-0.03939144688194485,-0.020551336276417698,-0.023624427780023605,-0.022261683833679657,0.0427509125439145,-0.020554124278613584,-0.017358859899985424,-0.03784359368464196,-0.018876697121155694,-0.06947722792564648,-7.360630156016956e-05,-0.014358508908270062,-0.025554495313025227,-0.019558406039354215,-0.02229465882472159,-0.025026001233333428,-0.024311374248729978,-0.017181030700413324,-0.014352333444848764,-0.022655291221988727,-0.01247770052609154,-0.023663308829256602,-0.026096815017375374,-0.046007302096457536,-0.020512268460076255,-0.032302562027291204,-0.030517618817625936,-0.017510593349262638,-0.020469662202795336,-0.020945981398704072,-0.02404495610395596,-0.037035528742562995,-0.04131142274459931,-0.028863857735595855,-0.022799652143861482,-0.014383166018496985,-0.016069090936411734,-0.01602451032357255,-0.022305496328586805,-0.012538420788850368,-0.012172786163149762,-0.016523952085396254,0.00798855194531689,-0.006453168492965289,-0.004800975934343588,-0.012205690775036304,-0.015816251939791748,-0.024511050584088423,-0.028254442143738512,-0.022300435509707173,-0.0033671447861660653,-0.03373515095937385,-0.019977838556842098,-0.0188760378012921,-0.014871910337995509,-0.017261866566404827,-0.028148460436656753,-0.04667842927474708,-0.04603177185771212,-0.022760808888454886,0.016076842144458592
