Date,ADRD,ADRU,BBEU,DAX,DBEU,DBEZ,DBGR,DBUK,DDEZ,DEZU,DFE,DXGE,EDEN,EDOM,EFNL,EIRL,ENOR,EPV,EUDG,EUDV,EUFL,EUFN,EUMV,EURL,EURZ,EUSC,EUXL,EWD,EWG,EWGS,EWI,EWK,EWL,EWN,EWO,EWP,EWQ,EWU,EWUS,EZU,FDD,FEP,FEU,FEUL,FEUZ,FEZ,FFEU,FGM,FIEE,FKU,FLEE,FLEH,FLEU,FLFR,FLGB,FLGR,FLIY,FLSW,FPXE,FSZ,GREK,GRMY,GSEU,GVAL,GXF,HEDJ,HEWG,HEWI,HEWL,HEWP,HEWU,HEZU,HFXE,IEUR,IEUS,IEV,JPEH,JPEU,NORW,OEUR,PGAL,RFEU,RIDV,SCID,SMEZ,UPV,VGK,WBIA,ZDEU,ZGBR
2013-12-31,20.603939056396484,20.208221435546875,,,20.76436996459961,,20.97763442993164,16.632083892822266,,,49.11069869995117,22.514205932617188,41.80931854248047,,30.502927780151367,33.251461029052734,26.762422561645508,60.09312438964844,,,,20.73204231262207,,,,,,29.691831588745117,28.54117202758789,37.1690788269043,27.704486846923828,14.693428039550781,29.301624298095703,23.340503692626953,17.49082374572754,32.085262298583984,25.127178192138672,34.25807571411133,36.33016586303711,36.46734619140625,11.287534713745117,30.14805030822754,32.3355598449707,,,36.23294448852539,,38.91338348388672,,37.11662292480469,,,,,,,,,,37.94539260864258,20.624778747558594,,,,20.40053939819336,45.49307632446289,,,,,,,,,39.77000427246094,41.07794952392578,,,13.546401977539062,,13.180562973022461,,,,,49.033267974853516,49.295780181884766,,,
2014-01-02,20.225738525390625,19.825389862060547,,,20.545551300048828,,20.415878295898438,16.632083892822266,,,48.29587173461914,21.849578857421875,41.493431091308594,,29.638399124145508,32.796974182128906,26.19098472595215,62.6036491394043,,,,20.18733024597168,,,,,,28.92115592956543,27.633535385131836,36.51266860961914,27.24245262145996,14.469304084777832,28.60882568359375,22.971450805664062,17.22594451904297,31.178516387939453,24.526599884033203,33.83149337768555,35.89057922363281,35.5772590637207,11.107850074768066,29.697269439697266,31.579172134399414,,,35.16827392578125,,37.7319450378418,,36.58369064331055,,,,,,,,,,37.107276916503906,20.807863235473633,,,,19.930402755737305,44.610904693603516,,,,,,,,,39.13844680786133,40.13432312011719,,,13.172595024108887,,13.155569076538086,,,,,46.93143081665039,48.247833251953125,,,
2014-01-03,20.27506446838379,19.92313575744629,,,20.592445373535156,,20.512178421020508,16.632083892822266,,,48.6014289855957,21.96588897705078,41.7349967956543,,29.900379180908203,32.88972473144531,26.433412551879883,62.56380081176758,,,,20.154314041137695,,,,,,28.896291732788086,27.54366683959961,36.83176040649414,27.331300735473633,14.379656791687012,28.893047332763672,22.935440063476562,17.24360466003418,31.06205940246582,24.420612335205078,33.847900390625,36.33016586303711,35.48031234741211,11.0180082321167,29.74234962463379,31.612058639526367,,,35.056671142578125,,37.75041961669922,,36.81577682495117,,,,,,,,,,37.33753204345703,20.597314834594727,,,,20.014358520507812,44.691837310791016,,,,,,,,,39.40530014038086,40.16895294189453,,,13.24573040008545,,13.363860130310059,,,,,46.97941589355469,48.256221771240234,,,
2014-01-06,20.233957290649414,19.849830627441406,,,20.592445373535156,,20.5362548828125,16.632083892822266,,,48.80515670776367,22.0240421295166,42.19954299926758,,29.961502075195312,33.14943313598633,26.286224365234375,62.523948669433594,,,,20.327634811401367,,,,,,28.888002395629883,27.678466796875,36.904685974121094,27.580093383789062,14.379656791687012,28.88416862487793,22.917436599731445,17.32306671142578,31.50295066833496,24.4029483795166,33.765865325927734,36.01987075805664,35.5860710144043,11.058844566345215,29.841516494750977,31.612058639526367,,,35.14252853393555,,37.87963104248047,,36.88454055786133,,,,,,,,,,37.466461181640625,20.69801139831543,,,,19.98917007446289,44.66755294799805,,,,,,,,,39.56541442871094,40.23821258544922,,,13.140089988708496,,13.388854026794434,,,,,47.31532287597656,48.29813766479492,,,
2014-01-07,20.37373161315918,19.9638614654541,,,20.795631408691406,,20.624528884887695,16.612913131713867,,,49.1446647644043,22.090505599975586,42.44111251831055,,29.865449905395508,33.52971267700195,26.32085418701172,61.6074104309082,,,,20.74028968811035,,,,,,29.070316314697266,27.777320861816406,37.1690788269043,27.953275680541992,14.487235069274902,28.91081428527832,23.061460494995117,17.843992233276367,32.41801452636719,24.579591751098633,33.89710998535156,36.33016586303711,35.938575744628906,11.083346366882324,30.121002197265625,31.875146865844727,,,35.59758377075195,,37.88887023925781,,36.96190643310547,,,,,,,,,,37.420413970947266,21.24727439880371,,,,20.13188934326172,45.10460662841797,,,,,,,,,39.743316650390625,40.523895263671875,,,13.172595024108887,,13.613805770874023,,,,,47.74720764160156,48.62509536743164,,,
2014-01-08,20.390172958374023,20.061603546142578,,,20.756559371948242,,20.60848045349121,16.612913131713867,,,49.1446647644043,22.065582275390625,42.45969772338867,,29.89164161682129,33.6966667175293,26.329517364501953,61.76681137084961,,,,20.88059425354004,,,,,,28.78856086730957,27.696441650390625,37.1143798828125,27.740026473999023,14.505165100097656,28.875286102294922,23.070459365844727,18.00292205810547,32.750755310058594,24.517763137817383,33.83149337768555,36.28706359863281,35.9033317565918,11.083346366882324,30.256235122680664,31.79293441772461,,,35.5117301940918,,37.75041961669922,,37.04785919189453,,,,,,,,,,37.282264709472656,21.814842224121094,,,,20.047937393188477,45.039859771728516,,,,,,,,,39.743316650390625,40.45463943481445,,,13.131964683532715,,13.797101020812988,,,,,47.756805419921875,48.59994888305664,,,
2014-01-09,20.398395538330078,20.012731552124023,,,20.67059326171875,,20.52020263671875,16.612913131713867,,,49.41626739501953,22.007427215576172,42.68267822265625,,30.10995864868164,34.262451171875,26.424755096435547,61.68710708618164,,,,20.90535545349121,,,,,,28.97916603088379,27.633535385131836,37.223785400390625,28.006589889526367,14.576882362365723,29.0351619720459,23.09746551513672,18.126529693603516,32.77571487426758,24.44710922241211,33.78227233886719,36.36463165283203,35.8945198059082,11.124184608459473,30.40949821472168,31.801156997680664,,,35.460208892822266,,37.97193145751953,,36.96190643310547,,,,,,,,,,37.76118469238281,21.94300651550293,,,,20.140287399291992,44.991302490234375,,,,,,,,,39.87674331665039,40.4892692565918,,,13.196972846984863,,13.947068214416504,,,,,47.60324478149414,48.64186477661133,,,
2014-01-10,20.52994155883789,20.183780670166016,,,20.834705352783203,,20.616504669189453,16.612913131713867,,,50.04436492919922,22.107120513916016,43.43524169921875,,30.424327850341797,34.45722961425781,26.79705810546875,60.411922454833984,,,,21.11168670654297,,,,,,29.352066040039062,27.90313148498535,37.898414611816406,28.290918350219727,14.720322608947754,29.337148666381836,23.268491744995117,18.303119659423828,33.20828628540039,24.703235626220703,34.077598571777344,36.83870315551758,36.247032165527344,11.254864692687988,30.79717254638672,32.07247543334961,,,35.82940673828125,,38.442657470703125,,37.44327163696289,,,,,,,,,,38.276947021484375,22.254253387451172,,,,20.350170135498047,45.16935348510742,,,,,,,,,40.526084899902344,40.87883377075195,,,13.440760612487793,,14.038718223571777,,,,,48.63017272949219,49.119728088378906,,,
2014-01-13,20.34906768798828,19.9638614654541,,,20.67840576171875,,20.43994903564453,16.612913131713867,,,49.874610900878906,21.974197387695312,42.90565490722656,,30.258413314819336,34.2995491027832,26.805709838867188,61.44801330566406,,,,21.02090072631836,,,,,,28.962587356567383,27.723400115966797,37.86195373535156,27.864425659179688,14.56791877746582,29.266094207763672,23.115467071533203,18.22365379333496,33.04191207885742,24.55309295654297,33.6510124206543,36.58012008666992,35.991455078125,11.140520095825195,30.652917861938477,31.784709930419922,,,35.50313949584961,,38.07346725463867,,37.04785919189453,,,,,,,,,,38.009864807128906,21.622604370117188,,,,20.165470123291016,44.82134246826172,,,,,,,,,40.18806838989258,40.53254699707031,,,13.46513843536377,,14.172022819519043,,,,,48.07352066040039,48.717315673828125,,,
2014-01-14,20.521717071533203,20.265235900878906,,,20.912851333618164,,20.760955810546875,16.708757400512695,,,50.64699935913086,22.298202514648438,43.202964782714844,,30.43306541442871,34.84678649902344,27.126068115234375,59.89387893676758,,,,21.301509857177734,,,,,,29.418367385864258,28.127792358398438,38.235740661621094,28.30868911743164,14.666533470153809,29.425968170166016,23.484521865844727,18.33843421936035,33.48280334472656,24.835721969604492,34.12681198120117,36.80421829223633,36.46734619140625,11.344707489013672,30.968463897705078,32.15467834472656,,,35.96677780151367,,38.4980354309082,,37.546417236328125,,,,,,,,,,38.378257751464844,21.915544509887695,,,,20.476097106933594,45.42835235595703,,,,,,,,,40.570560455322266,41.051979064941406,,,13.684547424316406,,13.947068214416504,,,,,48.956485748291016,49.28740692138672,,,
