Date,VGK,EZU,HEDJ,IEUR,FEZ,EWG,IEV,EWU,HEZU,EWP,EWL,DBEU,DFE,EUFN,FEP,EWQ,FDD,GREK,EWI,EWD,HEWG,FEU,IEUS,FSZ,GVAL,FGM,EWN,EUSC,NORW,EWO,EDEN,EIRL,FEUZ,DXGE,EWUS,EWK,EURL,ADRD,EUDG,EWGS,WBIA,DBEZ,ENOR,EUMV,EFNL,OEUR,PGAL,GXF,DBGR,SMEZ,EPV,HEWU,DAX,ADRU,HEWP,EUDV,HFXE,ZGBR,FKU,ZDEU,UPV,HEWL,EDOM,DBUK,GRMY,HEWI,EURZ
2016-03-01,43.940159,31.730375,48.091396,37.480633000000005,30.299227000000002,23.999626,35.893349,28.054205,22.356844,24.425507,27.651885999999998,21.12377,51.173854999999996,15.73432,27.311682,22.452969,10.768977,7.058350999999999,22.369184,26.195332,21.421377,26.924759,41.608166,37.957661,16.905544,34.665684000000006,23.036688,22.464499,8.998258,14.533328,53.713512,38.598396,29.86585,23.19981,34.734039,16.449869,21.402359,17.530357000000002,20.882445999999998,39.247581,21.088274,22.732232999999997,18.065718,21.467461,29.197640999999997,21.302425,9.011942,18.922045,21.089754,44.619568,58.79669200000001,17.559611999999998,22.719901999999998,17.112382999999998,16.845577,35.839378,15.194443,,34.374759999999995,,35.771159999999995,19.404819,21.188885,15.961082000000001,21.597849,12.347274,21.656111
2016-04-01,45.408333,32.542316,48.6133,38.684975,31.151740999999998,24.466,36.994656,29.181381,22.788372,25.917274,28.470375,21.560457,51.371277,16.551348,27.856559999999998,22.982256,11.184012,7.358306,23.304287,26.889126,21.709974,28.223990999999998,42.406357,38.534927,17.58869,35.226833,23.149061,22.755754,9.781889,15.014073000000002,54.40726899999999,38.396755,30.229782,23.510113,35.091179,16.692053,22.84675,18.162020000000002,21.018141,39.5294,20.804410999999998,23.07345,19.621836,21.795763,29.398878000000003,21.761132999999997,9.145255,19.379402,21.350584,45.349045000000004,55.272881000000005,17.977148,23.077065,17.982529,17.66781,36.562557,15.526404000000001,,34.894684000000005,,37.943771000000005,19.814611,21.672897,16.222739999999998,21.597849,12.763474,21.656111
2016-05-01,45.180659999999996,31.361313,49.755505,38.511627000000004,30.959896,24.186176,36.682617,28.841441999999997,23.265808,25.108486,28.405268,21.937208,52.28653,16.454708,27.950896999999998,22.935827,11.068713,7.88323,22.277506,26.284277000000003,22.128904000000002,28.106543,43.093174,38.184779999999996,16.923763,34.838371,23.326988,23.451014,9.529686,14.255973000000001,55.671223,39.068867,30.191971000000002,24.21286,35.906185,17.01807,22.261185,18.09911,20.950554,40.449996999999996,21.402588,23.654435999999997,19.087782,21.841362,29.508640000000003,21.417105,8.976392,19.110367,21.807029999999997,45.124596000000004,55.422619,18.055243,22.729252,17.884016,17.629509,36.684647,15.608305999999999,,35.453651,,37.588078,20.549826,21.565336,16.266348,21.597849,12.578497,21.656111
2016-06-01,42.494045,29.77433,46.92321,36.029945,28.475069,22.432608,34.681915000000004,27.499561,22.099762,22.448458,27.577478000000003,21.021019,45.789963,13.784002,25.790668,21.236534,10.412395,6.777141,19.893906,24.327414,21.104848999999998,26.977221999999998,38.628859999999996,36.519226,16.623179999999998,32.772892,21.678831,21.618904,9.448622,13.100335000000001,52.611118000000005,34.508109999999995,27.951677,22.195885,31.061914,16.496441,18.152480999999998,17.532951,20.173285,37.75396,21.188461,21.708593,18.655016,21.020599,28.703695,21.516695000000002,8.363153,18.410881,20.083706,40.408257,56.880058,18.929745,21.425898,17.051163,16.186360999999998,36.00843,14.881648,,30.4687,,33.435123,19.852491,18.874601000000002,16.607958,15.987891000000001,11.653606,16.903042000000003
2016-07-01,44.844322,31.990591,50.217289,38.102268,30.53698,24.508523999999998,36.583553,28.254118,22.366024,24.087034,28.845158,22.395785999999998,50.079879999999996,14.850624,27.607508000000003,22.812416,10.893663,7.039603,20.803352,25.919667999999998,21.830997,28.038828000000002,41.561043,38.201240999999996,17.604347,35.312034999999995,22.876127,23.185032,9.403584,14.271239999999999,55.010525,36.089484999999996,29.89852,24.289089,32.805958000000004,17.053478,20.016525,18.432316,21.258284,41.037052,22.104872,23.375122,18.926533,21.751028,30.964352,21.855019,8.923067,18.895139999999998,22.004433,43.644119,52.687424,18.905003,22.953257,18.018074,16.499044,36.977661,15.441978,,31.854406,,35.924973,20.093542000000003,20.480238,17.439664999999998,17.446676,11.435597,18.195797
2016-08-01,45.150837,32.349918,50.966515,38.270286999999996,30.799498,25.043604000000002,36.762005,28.562019,23.3554,24.307177,28.816513,22.652191000000002,50.347389,15.780495000000002,27.990545,22.736216,10.902835000000001,6.889624,20.989265,26.409769,22.929659,27.974352000000003,41.986195,38.625912,17.817451000000002,35.67667,23.598132999999997,23.194544,9.448622,14.69486,54.164806000000006,37.647240000000004,30.748102000000003,24.893951,33.46487,17.062866,20.348345000000002,18.450557999999997,21.096224,41.313812,21.825922,23.698322,19.076893,21.490202,31.226688,21.751486,8.958617,18.500557,22.562235,44.119858,51.808971,19.714057999999998,23.479622,17.954468,17.138144,36.356293,15.779937,,32.316196000000005,,36.636359999999996,20.675808,20.706226,17.75959,17.573954,12.044423,18.195797
2016-09-01,45.262299,32.614703999999996,50.966515,38.61565,30.715117,25.100932999999998,36.987431,28.688796999999997,23.421539000000003,24.600697,29.169797999999997,22.802498,51.029999,15.64375,28.268251,23.012438,10.838644,6.730272,20.48731,26.881371,22.862864000000002,27.863815000000002,43.063255,39.745502,18.095415,35.974136,23.807133,23.232601000000003,10.034094,15.363235000000001,53.36713,36.776443,30.517708000000002,24.761639000000002,33.752552,17.710827,20.709442000000003,18.395834,21.23922,42.239536,21.451696,23.793383,20.232785999999997,21.574038,32.266636,21.594238,8.789755,18.482622,22.494917,45.109390000000005,50.561161,20.04751,23.498421,17.70005,17.293282,35.939201000000004,15.750819,,31.660442,,37.01128,20.693493,20.667797,18.153917,17.12359,11.735414,18.434912
2016-10-01,43.900677,32.283733000000005,51.668884000000006,37.346199,30.663121999999998,24.756954,35.813373999999996,27.167421,23.742765,25.178566,27.699371000000003,22.820180999999998,49.453671,16.181618,27.49555,22.907660999999997,10.638159,6.824008999999999,20.970675,25.466562,23.082333,27.061325,40.654049,38.423225,18.743345,35.060534999999994,23.256132,23.556925,9.962035,15.476201000000001,50.810738,35.044533,30.87735,25.149701999999998,31.107664,16.809317,18.435501000000002,17.88994,20.03434,40.464443,20.341785,24.088066,20.063627,20.307169000000002,30.139889,20.272604,8.754205,17.334743,22.706497,44.104633,54.144867000000005,20.166315,23.225838,17.274732999999998,18.078094,33.175102,15.656369,,29.846781,,34.867508,20.081532,20.790792,18.161356,17.417307,12.264161,19.051157
2016-11-01,42.873432,30.997675,51.164753000000005,36.552792,29.542795,23.725016,34.921089,27.221756,23.619944,23.087229,27.069190999999996,22.687559,48.350788,16.382179,27.062775,22.336163,10.499882000000001,7.433296,20.217739,25.420324,22.939201,26.376696000000003,39.718716,38.452183000000005,17.903671,33.054604,22.353626000000002,23.12705,9.907991,15.146720000000002,46.98576,35.2187,29.508888,25.13073,31.618084000000003,16.086235000000002,17.059425,17.834841,19.441719,37.983128,22.690277,23.91696,20.044833999999998,19.375647,29.343533,19.294584,8.194291,16.83255,22.581469,42.055161,56.68040799999999,19.706139,22.351696,17.036461,17.238523,32.723003000000006,15.299774,,29.921515000000003,,32.685284,20.183235,20.373967999999998,17.833992000000002,17.877458999999998,12.277892999999999,19.051157
2016-12-01,44.769165,32.718712,54.59856800000001,37.980927,31.501011,25.301588,36.452061,27.792272999999998,25.13162,24.316349,28.129042,22.431151999999997,50.621429,17.284706,28.072578000000004,23.498215,10.942369,7.302065,22.504431,26.566966999999998,24.2083,27.662684999999996,41.400433,39.388393,18.845968,34.302315,22.942629,24.671722,9.94402,15.560926,49.003966999999996,36.312022999999996,31.488131,27.028105,31.478871999999996,16.443082999999998,19.499277,18.339942999999998,20.206388,38.689353999999994,22.797337,25.485441,20.439528,19.766884,30.823824,20.260014,8.274279,17.011902,24.235651,44.348213,51.359756,17.924028,23.592413,17.604641,18.240534,33.486343,15.273166,,30.556749,,35.790386,20.819069,21.361523000000002,15.088586,17.877458999999998,10.37578,19.527437
